mmsi,longitude,latitude,sog_now,sog_prev,delta_sog,distance_nm,time_gap_hours,implied_speed_knots,cog,base_date_time,dbscan_behavior_label
311541000,-124.74442,48.47577,8.9,8.9,0.0,0.17357847667931342,0.019444444444444445,8.92689308636469,90.9,2025-06-30 00:01:14,0
368044460,-95.05148,29.73143,0.0,0.0,0.0,0.001564101307323615,0.019166666666666665,0.08160528559949295,76.6,2025-06-30 00:01:14,0
366744020,-74.13878,40.69269,0.0,0.3,-0.3,0.0033088960205936995,0.019444444444444445,0.17017179534481883,153.7,2025-06-30 00:01:18,0
316002950,-126.76598,48.95994,0.6,0.2,0.39999999999999997,0.00565965199043963,0.0175,0.3234086851679788,90.5,2025-06-30 00:01:24,0
367442390,-94.77878,29.31335,0.0,0.0,0.0,0.000523525932799634,0.016944444444444446,0.03089661242751938,261.5,2025-06-30 00:01:04,0
316010956,-123.31839,48.25451,12.8,8.8,4.0,0.17642945712146618,0.016944444444444446,10.412230256348822,6.8,2025-06-30 00:01:04,-1
368076640,-92.98026,28.14582,0.7,0.3,0.39999999999999997,0.0015882201272161968,0.017777777777777778,0.08933738215591107,305.3,2025-06-30 00:01:27,0
367019930,-88.07005,30.77907,0.0,0.0,0.0,0.0011936631287714447,0.01972222222222222,0.06052376427573523,,2025-06-30 00:01:15,0
368172370,-90.83886,30.04331,9.6,9.4,0.1999999999999993,0.16370769987116088,0.016944444444444446,9.661438025183264,169.9,2025-06-30 00:01:05,0
367088240,-88.51249,30.42486,0.0,0.0,0.0,0.0,0.019166666666666665,0.0,193.8,2025-06-30 00:01:14,0
367583480,-94.74264,29.40602,0.0,0.0,0.0,0.0006004046073034574,0.0225,0.026684649213486997,238.0,2025-06-30 00:01:27,0
368232860,-82.77136,27.77248,0.0,0.0,0.0,0.0006004046073034574,0.021944444444444444,0.027360209953068947,,2025-06-30 00:01:39,0
367053990,-83.07753,27.28899,13.4,13.7,-0.29999999999999893,0.24776548075811428,0.018333333333333333,13.514480768624415,142.5,2025-06-30 00:01:07,0
366969970,-122.45529,37.87252,1.0,4.9,-3.9000000000000004,0.05774392275951877,0.0175,3.299652729115358,339.8,2025-06-30 00:01:04,0
477131400,-90.35641,29.93898,0.2,0.4,-0.2,0.003926035573226491,0.019444444444444445,0.20191040090879098,25.9,2025-06-30 00:01:15,0
316008708,-123.3871,48.42425,6.7,6.7,0.0,0.10272947337014798,0.016944444444444446,6.06272301856611,75.2,2025-06-30 00:01:09,0
367789330,-94.77065,29.38275,0.0,0.0,0.0,0.00477816982093246,0.016944444444444446,0.28199035008781725,300.5,2025-06-30 00:01:06,0
367695890,-95.11468,29.75959,0.0,0.0,0.0,0.0007950828113173027,0.019444444444444445,0.04088997315346128,240.9,2025-06-30 00:01:16,0
367570750,-94.04409,30.03894,0.0,0.0,0.0,0.0010395229907285558,0.01972222222222222,0.052708207980602835,,2025-06-30 00:01:17,0
366695940,-71.04188,42.38023,0.0,0.1,-0.1,0.0010711190083388695,0.01972222222222222,0.0543102595777455,288.3,2025-06-30 00:01:18,0
368198310,-95.32892,28.94807,0.0,0.0,0.0,0.0007978217789827833,0.021666666666666667,0.03682254364535923,258.6,2025-06-30 00:01:27,0
316007587,-123.16504,49.11839,0.0,0.0,0.0,0.000392963720898465,0.019166666666666665,0.020502455003398177,124.6,2025-06-30 00:01:31,0
368090850,-94.71597,29.42906,0.0,0.0,0.0,0.0055039231771313035,0.019444444444444445,0.28305890625246705,9.0,2025-06-30 00:01:16,0
412343000,-116.9855,26.18742,11.0,11.0,0.0,0.21617696797891722,0.019166666666666665,11.278798329334812,147.4,2025-06-30 00:01:26,0
367497610,-73.96779,40.72193,6.9,6.9,0.0,0.13868682728559897,0.01972222222222222,7.03200814405854,15.5,2025-06-30 00:01:16,0
367423260,-88.50761,30.34228,0.0,0.0,0.0,0.003046413475378056,0.01972222222222222,0.15446603537128173,270.1,2025-06-30 00:01:17,0
367645970,-90.39721,29.95829,0.0,0.0,0.0,0.0,0.019166666666666665,0.0,280.2,2025-06-30 00:01:17,0
367576750,-92.18711,29.77941,3.1,3.1,0.0,0.059981134894697585,0.01972222222222222,3.041296980576216,273.9,2025-06-30 00:01:33,0
212827000,-71.05851,41.12716,0.0,0.0,0.0,0.00045225578597056027,0.019444444444444445,0.02325886899277167,255.4,2025-06-30 00:01:18,0
367382320,-94.58207,27.81142,2.8,2.9,-0.10000000000000009,0.055383882248343425,0.01972222222222222,2.808196846394878,313.7,2025-06-30 00:01:17,0
374282000,-125.4931,34.57488,3.2,3.6,-0.3999999999999999,0.06549349748768933,0.019166666666666665,3.4170520428359654,308.6,2025-06-30 00:01:19,0
338186356,-72.46669,41.27673,0.0,0.0,0.0,0.0,0.01972222222222222,0.0,281.4,2025-06-30 00:01:13,0
368090030,-88.03686,30.71013,0.0,0.0,0.0,0.0011943016645749541,0.022222222222222223,0.053743574905872935,230.8,2025-06-30 00:01:26,0
367468270,-90.19631,29.14044,0.0,0.0,0.0,0.0012085163994542283,0.022222222222222223,0.05438323797544027,160.9,2025-06-30 00:01:21,0
367653440,-91.89298,29.84526,6.5,6.4,0.09999999999999964,0.12657101764037543,0.01972222222222222,6.4176854014838245,272.6,2025-06-30 00:01:27,0
368357020,-94.9172,29.69488,0.0,0.0,0.0,0.001675911915133642,0.02,0.08379559575668209,230.1,2025-06-30 00:01:25,0
366772990,-122.53319,47.57196,17.5,17.3,0.1999999999999993,0.304747731186606,0.0175,17.414156067806054,308.2,2025-06-30 00:01:07,0
366772750,-122.67671,48.50848,4.7,0.0,4.7,0.06455324477283265,0.017777777777777778,3.6311200184718366,25.8,2025-06-30 00:01:09,0
367442160,-87.54239,30.29186,0.0,0.0,0.0,0.0037486746560891995,0.022222222222222223,0.16869035952401398,292.2,2025-06-30 00:01:28,0
351137000,-71.84247,38.9429,10.8,11.0,-0.1999999999999993,0.21316081585092744,0.01972222222222222,10.808154043145617,133.7,2025-06-30 00:01:19,0
366941830,-94.9381,29.28735,6.9,6.8,0.10000000000000053,0.13412997637017615,0.019444444444444445,6.898113070466202,78.4,2025-06-30 00:01:11,0
367689620,-82.71971,27.69354,0.0,0.0,0.0,0.0,0.01972222222222222,0.0,277.0,2025-06-30 00:01:13,0
368210950,-92.2339,29.79726,3.1,3.2,-0.10000000000000009,0.0702821872227212,0.0225,3.1236527654542754,292.6,2025-06-30 00:01:35,0
367762920,-90.32406,29.93827,0.3,0.2,0.09999999999999998,0.005050483744700842,0.019444444444444445,0.2597391640131862,156.2,2025-06-30 00:02:00,0
367702550,-90.13615,29.92265,3.5,3.8,-0.2999999999999998,0.06233233556654145,0.017222222222222222,3.619296903863697,355.1,2025-06-30 00:01:06,0
367125050,-88.01132,30.80474,6.0,5.9,0.09999999999999964,0.10311195407019719,0.017777777777777778,5.800047416448591,232.3,2025-06-30 00:02:09,0
367504890,-88.50687,30.34762,4.4,0.2,4.2,0.03590204222007927,0.034166666666666665,1.0507914796120763,212.7,2025-06-30 00:02:09,0
351887000,-115.06686,23.46519,12.0,12.1,-0.09999999999999964,0.20499545792767793,0.016944444444444446,12.0980925990105,130.9,2025-06-30 00:01:12,0
538011127,-68.72254,40.37046,11.9,11.9,0.0,0.23468725960607575,0.01972222222222222,11.899635698336237,100.4,2025-06-30 00:02:10,0
246648000,-123.12902,49.3111,8.1,8.0,0.09999999999999964,0.15793697608482,0.019444444444444445,8.122473055790742,300.9,2025-06-30 00:01:18,0
366772990,-122.53758,47.5761,17.5,17.5,0.0,0.3056231052669146,0.017777777777777778,17.19129967126395,339.8,2025-06-30 00:02:11,0
367419080,-74.00154,40.66818,0.0,0.0,0.0,0.0007535775863559294,0.019166666666666665,0.039317091462048495,322.6,2025-06-30 00:01:15,0
366941830,-94.93558,29.28781,7.0,6.9,0.09999999999999964,0.13482104648028206,0.019444444444444445,6.933653818985935,78.2,2025-06-30 00:02:21,0
303328000,-125.14229,42.67133,3.0,4.1,-1.0999999999999996,0.050320554862748584,0.016944444444444446,2.9697376640310638,144.7,2025-06-30 00:01:04,0
368135710,-122.37921,47.6063,9.0,8.7,0.3000000000000007,0.16314610319334502,0.018055555555555554,9.035784176862187,313.8,2025-06-30 00:01:05,0
368006020,-76.43006,36.97007,0.0,0.0,0.0,0.0012930770765122949,0.01888888888888889,0.06845702169770973,34.9,2025-06-30 00:01:11,0
316001247,-123.32933,49.37941,6.4,0.6,5.800000000000001,0.058354191301283394,0.0175,3.3345252172161937,68.7,2025-06-30 00:01:14,-1
367702560,-90.82695,29.99339,0.0,0.0,0.0,0.0006004046075167641,0.016944444444444446,0.035433714541972965,294.7,2025-06-30 00:01:08,0
367409290,-74.20896,40.58576,0.0,0.1,-0.1,0.002183675232080363,0.01972222222222222,0.11072156106322968,315.9,2025-06-30 00:01:30,0
367515090,-72.66695,41.15789,7.5,7.3,0.20000000000000018,0.14140673743763524,0.019166666666666665,7.377742822833143,86.2,2025-06-30 00:01:11,0
316028008,-123.02555,49.29823,0.0,0.0,0.0,0.0072741957478014,0.022222222222222223,0.32733880865106296,232.7,2025-06-30 00:01:33,0
366995730,-89.33428,30.00612,0.0,0.0,0.0,0.0012008092146069147,0.019166666666666665,0.0626509155447086,264.9,2025-06-30 00:01:17,0
366982810,-90.43677,29.99209,0.0,0.0,0.0,0.001200880945833112,0.01972222222222222,0.06088973809858033,135.5,2025-06-30 00:01:18,0
366920250,-81.32158,30.36107,4.7,4.1,0.6000000000000005,0.08678587598155432,0.019166666666666665,4.527958746863704,124.7,2025-06-30 00:01:14,0
368327980,-74.11347,40.64388,0.0,0.0,0.0,0.000600404607090151,0.0225,0.02668464920400671,,2025-06-30 00:01:22,0
368013670,-88.08952,30.52164,7.1,7.3,-0.20000000000000018,0.15944775802007435,0.022222222222222223,7.175149110903345,110.3,2025-06-30 00:01:30,0
367642410,-90.20625,29.11912,0.0,0.0,0.0,0.0006004046073034574,0.025,0.024016184292138296,258.4,2025-06-30 00:01:39,0
367350050,-122.40461,37.81008,5.9,9.4,-3.5,0.1495361079949667,0.019166666666666665,7.801883895389567,124.4,2025-06-30 00:01:17,-1
367042160,-90.35695,29.93736,2.3,2.7,-0.40000000000000036,0.04908786068541009,0.019444444444444445,2.524518549535376,283.1,2025-06-30 00:01:18,0
368383090,-89.05844,29.29848,0.2,0.1,0.1,0.0007966460863149527,0.0225,0.03540649272510901,135.6,2025-06-30 00:01:28,0
368237090,-92.30272,29.56255,0.0,0.0,0.0,0.0010444849850096292,0.025,0.041779399400385164,23.9,2025-06-30 00:01:35,0
368949000,-126.42589,46.45692,4.1,4.1,0.0,0.0816912827550817,0.01972222222222222,4.142093210116819,336.2,2025-06-30 00:01:17,0
367472120,-76.69303,34.7157,1.6,3.1,-1.5,0.04809571244881085,0.01972222222222222,2.4386558424749163,153.3,2025-06-30 00:01:19,0
368421280,-73.91479,41.10048,0.0,0.0,0.0,0.0032946104855364443,0.024444444444444446,0.13477951986285452,301.2,2025-06-30 00:01:33,0
368005850,-80.11603,26.09268,5.6,0.3,5.3,0.06571600554380559,0.020277777777777777,3.240789314489043,72.6,2025-06-30 00:01:16,0
366999883,-124.21735,40.76698,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,290.5,2025-06-30 00:01:23,0
368252160,-90.31169,29.94651,0.8,1.0,-0.19999999999999996,0.015168455141976483,0.017222222222222222,0.8807490082437959,135.7,2025-06-30 00:02:07,0
367513220,-122.75224,45.64351,0.0,0.0,0.0,0.0025891087986233434,0.03638888888888889,0.07115108148888577,312.1,2025-06-30 00:02:13,0
366759130,-122.40009,47.6041,17.0,17.0,0.0,0.6271727186642093,0.03666666666666667,17.10471050902389,90.6,2025-06-30 00:02:13,0
367199580,-82.75959,28.15596,0.0,0.0,0.0,0.0006004046073034574,0.016944444444444446,0.03543371452938437,,2025-06-30 00:02:15,0
368006020,-76.43007,36.97006,0.0,0.0,0.0,0.000768499328830859,0.018055555555555554,0.04256303975063219,34.9,2025-06-30 00:02:16,0
367513220,-122.75226,45.64348,0.1,0.0,0.1,0.0019872466800778628,0.0,0.0,339.1,2025-06-30 00:01:03,0
368242030,-82.72741,41.54496,5.8,9.3,-3.500000000000001,0.1419198464091951,0.018333333333333333,7.741082531410642,187.5,2025-06-30 00:01:07,-1
255915794,-93.39065,28.54726,14.8,14.7,0.10000000000000142,0.27146223025214017,0.018333333333333333,14.807030741025827,306.6,2025-06-30 00:01:09,0
368031530,-122.77384,48.42722,6.9,6.0,0.9000000000000004,0.11711211120559407,0.017222222222222222,6.800058070002237,1.0,2025-06-30 00:01:18,0
368343220,-75.01038,38.95878,6.5,7.1,-0.5999999999999996,0.11536143023875753,0.016944444444444446,6.808215555074214,127.7,2025-06-30 00:01:32,0
367019310,-122.43788,37.80767,0.0,0.0,0.0,0.0004743634439084492,0.019444444444444445,0.024395834258148816,177.9,2025-06-30 00:01:16,0
367620420,-91.19658,30.42689,8.1,8.0,0.09999999999999964,0.1545530646185936,0.019166666666666665,8.06363815401358,194.9,2025-06-30 00:01:14,0
368135710,-122.38123,47.60844,8.1,9.0,-0.9000000000000004,0.15229897768031073,0.0175,8.702798724589183,343.4,2025-06-30 00:02:08,0
368256040,-90.33229,29.93243,10.2,5.2,4.999999999999999,0.0688355062043448,0.016944444444444446,4.062423316977725,78.9,2025-06-30 00:02:13,-1
367507790,-90.20439,29.14193,0.0,0.0,0.0,0.0,0.019166666666666665,0.0,61.7,2025-06-30 00:01:22,0
368123740,-73.99963,40.70181,7.9,7.8,0.10000000000000053,0.15225067468761258,0.019444444444444445,7.830034698220075,45.7,2025-06-30 00:01:17,0
538090581,-82.42924,23.62572,11.4,11.4,0.0,0.25379225187599397,0.022222222222222223,11.420651334419729,268.2,2025-06-30 00:01:27,0
235076283,-95.1009,29.749,0.8,1.6,-0.8,0.021328081643740438,0.01972222222222222,1.081423857992473,65.3,2025-06-30 00:01:19,0
369389000,-71.38258,41.39452,9.8,10.0,-0.1999999999999993,0.18140295203704238,0.019166666666666665,9.464501845410908,150.4,2025-06-30 00:01:28,0
366996310,-79.90827,33.00826,0.0,0.0,0.0,0.0007835766723223174,0.019444444444444445,0.04029822886229061,290.1,2025-06-30 00:01:19,0
316026694,-79.57809,42.65232,11.0,11.0,0.0,0.2184300402772755,0.019444444444444445,11.233544928545596,54.2,2025-06-30 00:01:26,0
368165770,-118.44284,33.97673,0.0,0.0,0.0,0.002058146374437861,0.019166666666666665,0.10738154997067102,273.6,2025-06-30 00:01:09,0
367369060,-90.00628,29.99648,0.0,0.0,0.0,0.0013085588119535379,0.019444444444444445,0.06729731032903909,120.5,2025-06-30 00:01:10,0
367407750,-91.19464,30.46706,0.0,0.0,0.0,0.0012008092146069147,0.019166666666666665,0.0626509155447086,302.3,2025-06-30 00:01:11,0
367371830,-74.05094,40.62062,7.8,7.7,0.09999999999999964,0.14845950728450819,0.01888888888888889,7.859620973885727,172.9,2025-06-30 00:01:14,0
338443000,-122.49824,48.75552,1.9,1.8,0.09999999999999987,0.037328066046523355,0.01972222222222222,1.892690672781466,355.7,2025-06-30 00:01:16,0
368403050,-90.87081,30.06579,0.0,0.1,-0.1,0.0006004046073034574,0.019444444444444445,0.03087795123274924,58.7,2025-06-30 00:01:16,0
366966910,-82.46911,27.12318,0.0,0.0,0.0,0.0,0.019166666666666665,0.0,,2025-06-30 00:01:24,0
367781550,-96.29217,28.50575,6.8,6.7,0.09999999999999964,0.15207670270665605,0.022222222222222223,6.843451621799522,239.1,2025-06-30 00:01:27,0
367168250,-80.04846,26.71421,0.0,0.0,0.0,0.004025300896070623,0.01888888888888889,0.2131041650860918,251.4,2025-06-30 00:01:08,0
367610510,-90.20919,38.58593,0.0,0.0,0.0,0.0004693204625344484,0.019166666666666665,0.024486285001797312,262.3,2025-06-30 00:01:09,0
367503060,-89.97378,29.92824,0.0,0.0,0.0,0.0006004046073034574,0.019166666666666665,0.031325457772354307,194.8,2025-06-30 00:01:11,0
367526590,-91.31683,30.22903,0.0,0.0,0.0,0.0012008092148202212,0.019166666666666665,0.06265091555583764,258.6,2025-06-30 00:01:12,0
367702240,-90.73119,30.01239,3.8,4.1,-0.2999999999999998,0.07547160551041117,0.019444444444444445,3.881396854821146,267.6,2025-06-30 00:01:19,0
368114490,-70.8784,41.56286,7.0,7.0,0.0,0.17337138618349557,0.025,6.934855447339823,346.5,2025-06-30 00:01:30,0
367174710,-93.7462,29.40664,2.7,2.7,0.0,0.06849585382318996,0.024444444444444446,2.80210311094868,343.7,2025-06-30 00:01:38,0
367401480,-70.18533,41.09965,3.0,2.7,0.2999999999999998,0.06956073978692293,0.024722222222222222,2.8136928453137364,316.0,2025-06-30 00:01:45,0
367784930,-122.95262,48.80136,11.0,28.6,-17.6,0.46231138953259954,0.025277777777777777,18.289241783707233,272.5,2025-06-30 00:01:45,-1
368111780,-70.09852,41.44143,9.4,9.6,-0.1999999999999993,0.23723105783623882,0.024722222222222222,9.595863013600672,271.1,2025-06-30 00:01:47,0
368425320,-80.10727,26.11507,0.0,0.0,0.0,0.0,0.019166666666666665,0.0,,2025-06-30 00:01:17,0
368388710,-90.01491,29.95114,0.0,0.0,0.0,0.0010404429128894593,0.019166666666666665,0.05428397806379788,,2025-06-30 00:01:16,0
338128529,-80.0717,26.89394,0.0,0.0,0.0,0.0,0.025277777777777777,0.0,46.5,2025-06-30 00:01:55,0
244655000,-84.18322,46.25744,8.6,8.8,-0.20000000000000107,0.1717094838304607,0.019444444444444445,8.830773454137978,154.3,2025-06-30 00:01:16,0
367610770,-82.44167,27.95314,0.0,0.0,0.0,0.00053035615854707,0.01888888888888889,0.028077678981903702,,2025-06-30 00:01:15,0
367650190,-93.97665,29.81857,0.0,0.0,0.0,0.0012008092148202212,0.019444444444444445,0.06175590247646852,288.0,2025-06-30 00:01:18,0
367737960,-90.30162,29.95291,7.8,8.5,-0.7000000000000002,0.16003626244573643,0.01972222222222222,8.114514715558467,40.4,2025-06-30 00:01:19,0
